2018-11-26T10:43:49.974Z INFO   - Saw 1 messages before logger start
[33m2018-11-26T10:43:46.179Z WARN :akka  - Don't use auto-down feature of Akka Cluster in production. See 'Auto-downing (DO NOT USE)' section of Akka Cluster documentation.[0m
2018-11-26T10:43:50.149Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [McsAssembly-assembly-akka] within 3000 seconds
2018-11-26T10:43:50.156Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [McsAssembly-assembly-akka]
SimulationMode command response is : Completed(Id(4939dfd7-c6ff-4662-a06c-0f06659ec5ee))
2018-11-26T10:43:50.250Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [McsAssembly-assembly-akka] within 3000 seconds
2018-11-26T10:43:50.251Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [McsAssembly-assembly-akka]
Startup command response is : Accepted(Id(824dd9c1-558b-41ad-89be-1b495504db1f))
2018-11-26T10:43:50.263Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [McsAssembly-assembly-akka] within 3000 seconds
2018-11-26T10:43:50.264Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [McsAssembly-assembly-akka]
Datum command response is : Completed(Id(4d0d3f02-87b9-48b4-9fc6-119c663dc655))
2018-11-26T10:43:58.650Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [McsAssembly-assembly-akka] within 3000 seconds
2018-11-26T10:43:58.650Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [McsAssembly-assembly-akka]
Follow command response is : Completed(Id(3b3225f6-d859-48b6-b2da-7f8c406cbaef))
2018-11-26T10:43:58.682Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [McsAssembly-assembly-akka] within 3000 seconds
2018-11-26T10:43:58.682Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [McsAssembly-assembly-akka]
Dummy immediate command Response is : Completed(Id(a8a76f36-5016-4939-ad6e-fefe1ee6b875))
2018-11-26T10:43:58.688Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [McsAssembly-assembly-akka] within 3000 seconds
2018-11-26T10:43:58.688Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [McsAssembly-assembly-akka]
Dummy Long Command Response is : Completed(Id(3641ea1a-6703-4228-aec6-34541a1b9d86))
 ** Started subscribing Events from Assembly ** 
2018-11-26T10:43:58.696Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [McsAssembly-assembly-akka] within 3000 seconds
2018-11-26T10:43:58.697Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [McsAssembly-assembly-akka]
2018-11-26T10:43:58.941Z INFO  location-service-lib (LocationServiceImpl.scala 152) - Resolving location for connection: [EventServer-service-tcp] within 5 seconds
2018-11-26T10:43:58.942Z INFO  location-service-lib (LocationServiceImpl.scala 144) - Finding location for connection: [EventServer-service-tcp]
2018-11-26T10:43:58.961Z INFO  event-service-lib (RedisSubscriber.scala 51) - Subscribing to event keys: Set(tmt.tcs.mcsA.CurrentPosition)
2018-11-26T10:43:59.001Z INFO  event-service-lib (RedisSubscriber.scala 113) - Fetching event key: tmt.tcs.mcsA.CurrentPosition
2018-11-26T10:43:59.183Z INFO  event-service-lib (RedisSubscriber.scala 51) - Subscribing to event keys: Set(tmt.tcs.mcsA.Health)
2018-11-26T10:43:59.184Z INFO  event-service-lib (RedisSubscriber.scala 113) - Fetching event key: tmt.tcs.mcsA.Health
2018-11-26T10:43:59.198Z INFO  event-service-lib (RedisSubscriber.scala 51) - Subscribing to event keys: Set(tmt.tcs.mcs.dummyEvent.DummyEventState)
2018-11-26T10:43:59.201Z INFO  event-service-lib (RedisSubscriber.scala 113) - Fetching event key: tmt.tcs.mcs.dummyEvent.DummyEventState
Health, 1543229039525, 1543229039528, 1543229039531, 1543229039704
Health, 1543229040526, 1543229040526, 1543229040527, 1543229040529
Health, 1543229041526, 1543229041526, 1543229041527, 1543229041529
Health, 1543229042526, 1543229042527, 1543229042527, 1543229042530
Health, 1543229043527, 1543229043527, 1543229043527, 1543229043529
Health, 1543229044527, 1543229044527, 1543229044528, 1543229044529
Health, 1543229045527, 1543229045528, 1543229045528, 1543229045529
Health, 1543229046528, 1543229046528, 1543229046529, 1543229046531
Health, 1543229047528, 1543229047531, 1543229047531, 1543229047534
Health, 1543229048529, 1543229048529, 1543229048530, 1543229048531
Health, 1543229049529, 1543229049530, 1543229049530, 1543229049531
Health, 1543229050529, 1543229050530, 1543229050530, 1543229050531
Health, 1543229051530, 1543229051530, 1543229051531, 1543229051532
Health, 1543229052530, 1543229052531, 1543229052531, 1543229052532
Health, 1543229053530, 1543229053531, 1543229053531, 1543229053532
Health, 1543229054531, 1543229054531, 1543229054532, 1543229054534
Health, 1543229055532, 1543229055532, 1543229055533, 1543229055534
Health, 1543229056532, 1543229056533, 1543229056534, 1543229056535
Health, 1543229057533, 1543229057533, 1543229057533, 1543229057534
Health, 1543229058533, 1543229058533, 1543229058534, 1543229058535
Health, 1543229059533, 1543229059533, 1543229059534, 1543229059534
Health, 1543229060533, 1543229060534, 1543229060534, 1543229060535
Health, 1543229061534, 1543229061534, 1543229061534, 1543229061535
Health, 1543229062534, 1543229062534, 1543229062534, 1543229062536
Health, 1543229063534, 1543229063534, 1543229063535, 1543229063536
Health, 1543229064534, 1543229064535, 1543229064535, 1543229064536
Health, 1543229065535, 1543229065535, 1543229065535, 1543229065536
Health, 1543229066535, 1543229066535, 1543229066535, 1543229066536
Health, 1543229067535, 1543229067535, 1543229067535, 1543229067536
Health, 1543229068535, 1543229068536, 1543229068536, 1543229068536
Health, 1543229069536, 1543229069536, 1543229069536, 1543229069537
Health, 1543229070536, 1543229070536, 1543229070536, 1543229070537
Health, 1543229071536, 1543229071536, 1543229071536, 1543229071537
Health, 1543229072536, 1543229072537, 1543229072537, 1543229072538
Health, 1543229073536, 1543229073537, 1543229073537, 1543229073538
Health, 1543229074537, 1543229074537, 1543229074537, 1543229074538
Health, 1543229075537, 1543229075537, 1543229075538, 1543229075538
Health, 1543229076537, 1543229076537, 1543229076538, 1543229076538
Health, 1543229077537, 1543229077538, 1543229077538, 1543229077539
Health, 1543229078538, 1543229078538, 1543229078538, 1543229078539
Health, 1543229039525, 1543229039528, 1543229039531, 1543229079533
Health, 1543229079538, 1543229079538, 1543229079538, 1543229079539
Health, 1543229040526, 1543229040526, 1543229040527, 1543229080532
Health, 1543229080538, 1543229080538, 1543229080538, 1543229080539
Health, 1543229041526, 1543229041526, 1543229041527, 1543229081533
Health, 1543229081538, 1543229081538, 1543229081539, 1543229081540
Health, 1543229042526, 1543229042527, 1543229042527, 1543229082533
Health, 1543229082538, 1543229082539, 1543229082539, 1543229082540
Health, 1543229043527, 1543229043527, 1543229043527, 1543229083532
Health, 1543229083539, 1543229083539, 1543229083539, 1543229083540
Health, 1543229044527, 1543229044527, 1543229044528, 1543229084532
Health, 1543229084539, 1543229084539, 1543229084539, 1543229084540
Health, 1543229045527, 1543229045528, 1543229045528, 1543229085533
Health, 1543229085539, 1543229085539, 1543229085540, 1543229085540
Health, 1543229046528, 1543229046528, 1543229046529, 1543229086533
Health, 1543229086539, 1543229086540, 1543229086540, 1543229086540
Health, 1543229087540, 1543229087540, 1543229087540, 1543229087540
Health, 1543229047528, 1543229047531, 1543229047531, 1543229087542
Health, 1543229048529, 1543229048529, 1543229048530, 1543229088533
Health, 1543229088540, 1543229088540, 1543229088540, 1543229088540
Health, 1543229049529, 1543229049530, 1543229049530, 1543229089533
Health, 1543229089540, 1543229089540, 1543229089540, 1543229089541
Health, 1543229050529, 1543229050530, 1543229050530, 1543229090533
Health, 1543229090540, 1543229090540, 1543229090541, 1543229090541
